"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 10 12:17:44 IST 2022","Mon Jan 10 12:17:44 IST 2022","341","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I click on the element ""//select[@id='id_state']/option[text()='Arizona']""","And I click on the element ""//select[@id='id_state']/option[text()='Arizona']""",""
"passed","Mon Jan 10 12:17:45 IST 2022","Mon Jan 10 12:17:56 IST 2022","11517","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I click on the element ""#submitAccount""","And I click on the element ""#submitAccount""",""
"passed","Mon Jan 10 12:17:36 IST 2022","Mon Jan 10 12:17:36 IST 2022","68","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I click on the element ""#SubmitCreate""","And I click on the element ""#SubmitCreate""",""
"passed","Mon Jan 10 12:17:43 IST 2022","Mon Jan 10 12:17:44 IST 2022","621","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I click on the element ""#uniform-id_state""","And I click on the element ""#uniform-id_state""",""
"passed","Mon Jan 10 12:18:26 IST 2022","Mon Jan 10 12:18:26 IST 2022","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"passed","Mon Jan 10 12:17:35 IST 2022","Mon Jan 10 12:17:36 IST 2022","173","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I add mail id ""5"" to element ""#email_create""","And I add mail id ""5"" to element ""#email_create""",""
"passed","Mon Jan 10 12:16:34 IST 2022","Mon Jan 10 12:16:53 IST 2022","18734","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Mon Jan 10 12:17:43 IST 2022","Mon Jan 10 12:17:43 IST 2022","88","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I send data ""Sr no.-12,abc"" to element ""#address1""","And I send data ""Sr no.-12,abc"" to element ""#address1""",""
"passed","Mon Jan 10 12:17:43 IST 2022","Mon Jan 10 12:17:43 IST 2022","92","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I send data ""FirstName"" to element ""#firstname""","And I send data ""FirstName"" to element ""#firstname""",""
"broken","Mon Jan 10 12:18:26 IST 2022","Mon Jan 10 12:18:26 IST 2022","5","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","And I expect that element "".header_user_info span"" contains text ""FirstName LastName""","And I expect that element "".header_user_info span"" contains text ""FirstName LastName""",""
